"code","libelle","total","time","partition_0"
"1258","""Les menus sont susceptibles d'être modifiés pour des raisons de problèmes d'approvisionnement""","1245","""2026-01-28 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1258","""Les menus sont susceptibles d'être modifiés pour des raisons de problèmes d'approvisionnement""","1245","""2026-01-27 17:03:23.0""","croustillant-transformation_29Jan2026_1769646185944"
"1258","""Les menus sont susceptibles d'être modifiés pour des raisons de problèmes d'approvisionnement""","1250","""2026-01-28 10:16:09.0""","croustillant-transformation_29Jan2026_1769646185944"
"1258","""Les menus sont susceptibles d'être modifiés pour des raisons de problèmes d'approvisionnement""","1245","""2026-01-28 08:17:20.0""","croustillant-transformation_29Jan2026_1769646185944"
"1258","""Les menus sont susceptibles d'être modifiés pour des raisons de problèmes d'approvisionnement""","1250","""2026-01-29 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1258","""Les menus sont susceptibles d'être modifiés pour des raisons de problèmes d'approvisionnement""","1245","""2026-01-27 15:43:32.0""","croustillant-transformation_29Jan2026_1769646185944"
"1258","""Les menus sont susceptibles d'être modifiés pour des raisons de problèmes d'approvisionnement""","1250","""2026-01-28 14:15:02.0""","croustillant-transformation_29Jan2026_1769646185944"
"1368","""Escalope de dinde viennoise""","677","""2026-01-28 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1368","""Escalope de dinde viennoise""","677","""2026-01-27 17:03:23.0""","croustillant-transformation_29Jan2026_1769646185944"
"1368","""Escalope de dinde viennoise""","676","""2026-01-28 10:16:09.0""","croustillant-transformation_29Jan2026_1769646185944"
"1368","""Escalope de dinde viennoise""","677","""2026-01-28 08:17:20.0""","croustillant-transformation_29Jan2026_1769646185944"
"1368","""Escalope de dinde viennoise""","676","""2026-01-29 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1368","""Escalope de dinde viennoise""","677","""2026-01-27 15:43:32.0""","croustillant-transformation_29Jan2026_1769646185944"
"1368","""Escalope de dinde viennoise""","676","""2026-01-28 14:15:02.0""","croustillant-transformation_29Jan2026_1769646185944"
"1378","""1 point = assiette blanche""","1131","""2026-01-28 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1378","""1 point = assiette blanche""","1131","""2026-01-27 17:03:23.0""","croustillant-transformation_29Jan2026_1769646185944"
"1378","""1 point = assiette blanche""","1131","""2026-01-28 10:16:09.0""","croustillant-transformation_29Jan2026_1769646185944"
"1378","""1 point = assiette blanche""","1131","""2026-01-28 08:17:20.0""","croustillant-transformation_29Jan2026_1769646185944"
"1378","""1 point = assiette blanche""","1131","""2026-01-29 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1378","""1 point = assiette blanche""","1131","""2026-01-27 15:43:32.0""","croustillant-transformation_29Jan2026_1769646185944"
"1378","""1 point = assiette blanche""","1131","""2026-01-28 14:15:02.0""","croustillant-transformation_29Jan2026_1769646185944"
"1379","""2 points = assiette rouge""","1131","""2026-01-28 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1379","""2 points = assiette rouge""","1131","""2026-01-27 17:03:23.0""","croustillant-transformation_29Jan2026_1769646185944"
"1379","""2 points = assiette rouge""","1131","""2026-01-28 10:16:09.0""","croustillant-transformation_29Jan2026_1769646185944"
"1379","""2 points = assiette rouge""","1131","""2026-01-28 08:17:20.0""","croustillant-transformation_29Jan2026_1769646185944"
"1379","""2 points = assiette rouge""","1131","""2026-01-29 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1379","""2 points = assiette rouge""","1131","""2026-01-27 15:43:32.0""","croustillant-transformation_29Jan2026_1769646185944"
"1379","""2 points = assiette rouge""","1131","""2026-01-28 14:15:02.0""","croustillant-transformation_29Jan2026_1769646185944"
"1380","""3 points = assiette noire""","1131","""2026-01-28 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1380","""3 points = assiette noire""","1131","""2026-01-27 17:03:23.0""","croustillant-transformation_29Jan2026_1769646185944"
"1380","""3 points = assiette noire""","1131","""2026-01-28 10:16:09.0""","croustillant-transformation_29Jan2026_1769646185944"
"1380","""3 points = assiette noire""","1131","""2026-01-28 08:17:20.0""","croustillant-transformation_29Jan2026_1769646185944"
"1380","""3 points = assiette noire""","1131","""2026-01-29 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1380","""3 points = assiette noire""","1131","""2026-01-27 15:43:32.0""","croustillant-transformation_29Jan2026_1769646185944"
"1380","""3 points = assiette noire""","1131","""2026-01-28 14:15:02.0""","croustillant-transformation_29Jan2026_1769646185944"
"1485","Desserts","625","""2026-01-28 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1485","Desserts","625","""2026-01-27 17:03:23.0""","croustillant-transformation_29Jan2026_1769646185944"
"1485","Desserts","626","""2026-01-28 10:16:09.0""","croustillant-transformation_29Jan2026_1769646185944"
"1485","Desserts","625","""2026-01-28 08:17:20.0""","croustillant-transformation_29Jan2026_1769646185944"
"1485","Desserts","626","""2026-01-29 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1485","Desserts","625","""2026-01-27 15:43:32.0""","croustillant-transformation_29Jan2026_1769646185944"
"1485","Desserts","626","""2026-01-28 14:15:02.0""","croustillant-transformation_29Jan2026_1769646185944"
"1630","OU","1213","""2026-01-28 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1630","OU","1213","""2026-01-27 17:03:23.0""","croustillant-transformation_29Jan2026_1769646185944"
"1630","OU","1214","""2026-01-28 10:16:09.0""","croustillant-transformation_29Jan2026_1769646185944"
"1630","OU","1214","""2026-01-28 08:17:20.0""","croustillant-transformation_29Jan2026_1769646185944"
"1630","OU","1214","""2026-01-29 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1630","OU","1213","""2026-01-27 15:43:32.0""","croustillant-transformation_29Jan2026_1769646185944"
"1630","OU","1214","""2026-01-28 14:15:02.0""","croustillant-transformation_29Jan2026_1769646185944"
"1052","Snacking","802","""2026-01-27 15:43:32.0""","croustillant-transformation_29Jan2026_1769646185944"
"1052","Snacking","805","""2026-01-28 14:15:02.0""","croustillant-transformation_29Jan2026_1769646185944"
"1052","Snacking","805","""2026-01-28 10:16:09.0""","croustillant-transformation_29Jan2026_1769646185944"
"1052","Snacking","805","""2026-01-28 08:17:20.0""","croustillant-transformation_29Jan2026_1769646185944"
"1052","Snacking","805","""2026-01-29 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1052","Snacking","802","""2026-01-28 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1052","Snacking","802","""2026-01-27 17:03:23.0""","croustillant-transformation_29Jan2026_1769646185944"
"1053","""Pasta box""","940","""2026-01-27 15:43:32.0""","croustillant-transformation_29Jan2026_1769646185944"
"1053","""Pasta box""","944","""2026-01-28 14:15:02.0""","croustillant-transformation_29Jan2026_1769646185944"
"1053","""Pasta box""","944","""2026-01-28 10:16:09.0""","croustillant-transformation_29Jan2026_1769646185944"
"1053","""Pasta box""","944","""2026-01-28 08:17:20.0""","croustillant-transformation_29Jan2026_1769646185944"
"1053","""Pasta box""","944","""2026-01-29 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1053","""Pasta box""","940","""2026-01-28 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1053","""Pasta box""","940","""2026-01-27 17:03:23.0""","croustillant-transformation_29Jan2026_1769646185944"
"1109","""Steak haché""","818","""2026-01-27 15:43:32.0""","croustillant-transformation_29Jan2026_1769646185944"
"1109","""Steak haché""","809","""2026-01-28 14:15:02.0""","croustillant-transformation_29Jan2026_1769646185944"
"1109","""Steak haché""","809","""2026-01-28 10:16:09.0""","croustillant-transformation_29Jan2026_1769646185944"
"1109","""Steak haché""","819","""2026-01-28 08:17:20.0""","croustillant-transformation_29Jan2026_1769646185944"
"1109","""Steak haché""","809","""2026-01-29 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1109","""Steak haché""","818","""2026-01-28 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1109","""Steak haché""","818","""2026-01-27 17:03:23.0""","croustillant-transformation_29Jan2026_1769646185944"
"1139","Compote","2844","""2026-01-27 15:43:32.0""","croustillant-transformation_29Jan2026_1769646185944"
"1139","Compote","2854","""2026-01-28 14:15:02.0""","croustillant-transformation_29Jan2026_1769646185944"
"1139","Compote","2854","""2026-01-28 10:16:09.0""","croustillant-transformation_29Jan2026_1769646185944"
"1139","Compote","2845","""2026-01-28 08:17:20.0""","croustillant-transformation_29Jan2026_1769646185944"
"1139","Compote","2854","""2026-01-29 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1139","Compote","2844","""2026-01-28 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1139","Compote","2844","""2026-01-27 17:03:23.0""","croustillant-transformation_29Jan2026_1769646185944"
"1153","Yaourts","3213","""2026-01-27 15:43:32.0""","croustillant-transformation_29Jan2026_1769646185944"
"1153","Yaourts","3219","""2026-01-28 14:15:02.0""","croustillant-transformation_29Jan2026_1769646185944"
"1153","Yaourts","3219","""2026-01-28 10:16:09.0""","croustillant-transformation_29Jan2026_1769646185944"
"1153","Yaourts","3218","""2026-01-28 08:17:20.0""","croustillant-transformation_29Jan2026_1769646185944"
"1153","Yaourts","3219","""2026-01-29 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1153","Yaourts","3213","""2026-01-28 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1153","Yaourts","3213","""2026-01-27 17:03:23.0""","croustillant-transformation_29Jan2026_1769646185944"
"1158","""Salade composée""","1419","""2026-01-27 15:43:32.0""","croustillant-transformation_29Jan2026_1769646185944"
"1158","""Salade composée""","1423","""2026-01-28 14:15:02.0""","croustillant-transformation_29Jan2026_1769646185944"
"1158","""Salade composée""","1423","""2026-01-28 10:16:09.0""","croustillant-transformation_29Jan2026_1769646185944"
"1158","""Salade composée""","1422","""2026-01-28 08:17:20.0""","croustillant-transformation_29Jan2026_1769646185944"
"1158","""Salade composée""","1423","""2026-01-29 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1158","""Salade composée""","1419","""2026-01-28 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1158","""Salade composée""","1419","""2026-01-27 17:03:23.0""","croustillant-transformation_29Jan2026_1769646185944"
"1173","""Hors d œuvres variés""","2203","""2026-01-28 08:17:20.0""","croustillant-transformation_29Jan2026_1769646185944"
"1173","""Hors d œuvres variés""","2211","""2026-01-29 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1173","""Hors d œuvres variés""","2203","""2026-01-28 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1173","""Hors d œuvres variés""","2203","""2026-01-27 17:03:23.0""","croustillant-transformation_29Jan2026_1769646185944"
"1173","""Hors d œuvres variés""","2211","""2026-01-28 10:16:09.0""","croustillant-transformation_29Jan2026_1769646185944"
"1173","""Hors d œuvres variés""","2203","""2026-01-27 15:43:32.0""","croustillant-transformation_29Jan2026_1769646185944"
"1173","""Hors d œuvres variés""","2211","""2026-01-28 14:15:02.0""","croustillant-transformation_29Jan2026_1769646185944"
"1174","""Crudités diverses 1 ou 2 pts""","1843","""2026-01-28 08:17:20.0""","croustillant-transformation_29Jan2026_1769646185944"
"1174","""Crudités diverses 1 ou 2 pts""","1850","""2026-01-29 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1174","""Crudités diverses 1 ou 2 pts""","1843","""2026-01-28 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1174","""Crudités diverses 1 ou 2 pts""","1843","""2026-01-27 17:03:23.0""","croustillant-transformation_29Jan2026_1769646185944"
"1174","""Crudités diverses 1 ou 2 pts""","1850","""2026-01-28 10:16:09.0""","croustillant-transformation_29Jan2026_1769646185944"
"1174","""Crudités diverses 1 ou 2 pts""","1843","""2026-01-27 15:43:32.0""","croustillant-transformation_29Jan2026_1769646185944"
"1174","""Crudités diverses 1 ou 2 pts""","1850","""2026-01-28 14:15:02.0""","croustillant-transformation_29Jan2026_1769646185944"
"1175","""Charcuteries diverses 2 pts""","1843","""2026-01-28 08:17:20.0""","croustillant-transformation_29Jan2026_1769646185944"
"1175","""Charcuteries diverses 2 pts""","1850","""2026-01-29 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1175","""Charcuteries diverses 2 pts""","1843","""2026-01-28 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1175","""Charcuteries diverses 2 pts""","1843","""2026-01-27 17:03:23.0""","croustillant-transformation_29Jan2026_1769646185944"
"1175","""Charcuteries diverses 2 pts""","1850","""2026-01-28 10:16:09.0""","croustillant-transformation_29Jan2026_1769646185944"
"1175","""Charcuteries diverses 2 pts""","1843","""2026-01-27 15:43:32.0""","croustillant-transformation_29Jan2026_1769646185944"
"1175","""Charcuteries diverses 2 pts""","1850","""2026-01-28 14:15:02.0""","croustillant-transformation_29Jan2026_1769646185944"
"1179","""Desserts variés - 1 pts""","1589","""2026-01-28 08:17:20.0""","croustillant-transformation_29Jan2026_1769646185944"
"1179","""Desserts variés - 1 pts""","1595","""2026-01-29 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1179","""Desserts variés - 1 pts""","1589","""2026-01-28 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
"1179","""Desserts variés - 1 pts""","1589","""2026-01-27 17:03:23.0""","croustillant-transformation_29Jan2026_1769646185944"
"1179","""Desserts variés - 1 pts""","1595","""2026-01-28 10:16:09.0""","croustillant-transformation_29Jan2026_1769646185944"
"1179","""Desserts variés - 1 pts""","1589","""2026-01-27 15:43:32.0""","croustillant-transformation_29Jan2026_1769646185944"
"1179","""Desserts variés - 1 pts""","1595","""2026-01-28 14:15:02.0""","croustillant-transformation_29Jan2026_1769646185944"
"1180","""Pâtisserie - 1 ou 2 pts""","1949","""2026-01-28 08:17:20.0""","croustillant-transformation_29Jan2026_1769646185944"
"1180","""Pâtisserie - 1 ou 2 pts""","1956","""2026-01-29 00:18:26.0""","croustillant-transformation_29Jan2026_1769646185944"
